Lieu.de.surveillance...Identifiant;Lieu.de.surveillance...Libellé;Lieu.de.surveillance...Mnémonique;Passage...Date;Passage...Jour;Passage...Mois;Passage...Année;Sonde;Coordonnées.passage...Coordonnées.minx;Coordonnées.passage...Coordonnées.miny;Prélèvement...Niveau;Résultat...Code.paramètre;Saison;JourAnnée;Week;Résultat...Valeur.de.la.mesure
3006001;At so;006-P-001;31/03/1992;31;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Spring;90;13;0.58
3006001;At so;006-P-001;31/03/1992;31;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;90;13;30
3006001;At so;006-P-001;31/03/1992;31;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Spring;90;13;0.97
3006001;At so;006-P-001;31/03/1992;31;3;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;90;13;9
3006001;At so;006-P-001;21/04/1992;21;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Spring;111;16;10.1
3006001;At so;006-P-001;21/04/1992;21;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;111;16;0.51
3006001;At so;006-P-001;21/04/1992;21;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;111;16;0.15
3006001;At so;006-P-001;21/04/1992;21;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Spring;111;16;4.15
3006001;At so;006-P-001;21/04/1992;21;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Spring;111;16;0.03
3006001;At so;006-P-001;21/04/1992;21;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;111;16;31.8
3006001;At so;006-P-001;21/04/1992;21;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);SIOH;Spring;111;16;1.42
3006001;At so;006-P-001;21/04/1992;21;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;111;16;10
3006001;At so;006-P-001;30/04/1992;30;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Spring;120;17;18.42
3006001;At so;006-P-001;30/04/1992;30;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Spring;120;17;28.06
3006001;At so;006-P-001;30/04/1992;30;4;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Spring;120;17;0.15
3006001;At so;006-P-001;18/10/1990;18;10;1990;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;290;41;32.7
3006001;At so;006-P-001;18/10/1990;18;10;1990;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;290;41;14
3006001;At so;006-P-001;14/03/1991;14;3;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;72;10;32.9
3006001;At so;006-P-001;14/03/1991;14;3;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;72;10;7.4
3006001;At so;006-P-001;28/03/1991;28;3;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;86;12;31.2
3006001;At so;006-P-001;28/03/1991;28;3;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;86;12;8.2
3006001;At so;006-P-001;11/04/1991;11;4;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;100;14;31
3006001;At so;006-P-001;11/04/1991;11;4;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;100;14;9.8
3006001;At so;006-P-001;24/04/1991;24;4;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Spring;113;16;31.5
3006001;At so;006-P-001;24/04/1991;24;4;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Spring;113;16;9
3006001;At so;006-P-001;23/07/1991;23;7;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Summer;203;29;29
3006001;At so;006-P-001;23/07/1991;23;7;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Summer;203;29;18
3006001;At so;006-P-001;09/08/1991;9;8;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Summer;220;31;32.5
3006001;At so;006-P-001;09/08/1991;9;8;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Summer;220;31;19
3006001;At so;006-P-001;29/08/1991;29;8;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Summer;240;34;34
3006001;At so;006-P-001;29/08/1991;29;8;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Summer;240;34;19.5
3006001;At so;006-P-001;05/09/1991;5;9;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;247;35;33.5
3006001;At so;006-P-001;05/09/1991;5;9;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;247;35;19
3006001;At so;006-P-001;26/09/1991;26;9;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;268;38;34
3006001;At so;006-P-001;26/09/1991;26;9;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;268;38;18
3006001;At so;006-P-001;08/10/1991;8;10;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;280;40;31.5
3006001;At so;006-P-001;08/10/1991;8;10;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;280;40;15.5
3006001;At so;006-P-001;22/10/1991;22;10;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;294;42;31
3006001;At so;006-P-001;22/10/1991;22;10;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;294;42;13
3006001;At so;006-P-001;12/11/1991;12;11;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;315;45;32
3006001;At so;006-P-001;12/11/1991;12;11;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;315;45;11
3006001;At so;006-P-001;21/11/1991;21;11;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Autumn;324;46;31.5
3006001;At so;006-P-001;21/11/1991;21;11;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Autumn;324;46;9.5
3006001;At so;006-P-001;05/12/1991;5;12;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);SALI;Winter;338;48;30.5
3006001;At so;006-P-001;05/12/1991;5;12;1991;NA;1.4745046439;50.2312831163;Surface (0-1m);TEMP;Winter;338;48;8
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);CHLOROA;Winter;6;1;2.242
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NH4;Winter;6;1;0.15
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);NO3+NO2;Winter;6;1;16.145
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PHEO;Winter;6;1;2.691
3006001;At so;006-P-001;07/01/1992;7;1;1992;NA;1.4745046439;50.2312831163;Surface (0-1m);PO4;Winter;6;1;1.651
