"Saison";"Passage...Année";"Résultat...Code.paramètre";"Lieu.de.surveillance...Libellé";"Mean";"Med";"Qone";"Qthree"
"Autumn";2008;"NH4";"Antifer";1.546;1.62;1.06;1.76
"Autumn";2008;"NH4";"At so";1.90333333333333;1.56;1.405;2.23
"Autumn";2008;"NH4";"Cabourg";4.898;5.75;3.51;6.72
"Autumn";2008;"NH4";"Digue de Querqueville";0.786666666666667;0.8;0.775;0.805
"Autumn";2008;"NH4";"Donville";1.56666666666667;0.37;0.19;2.345
"Autumn";2008;"NH4";"Géfosse";2.7775;1.95;1.72;3.0075
"Autumn";2008;"NH4";"StCast_Hebihens";0.533333333333333;0.6;0.4;0.7
"Autumn";2008;"NO3+NO2";"Antifer";20.72;21.7;15.4;25
"Autumn";2008;"NO3+NO2";"At so";16.1166666666667;17.98;15.005;18.16
"Autumn";2008;"NO3+NO2";"Cabourg";14.918;13.3;7.33;13.7
"Autumn";2008;"NO3+NO2";"Digue de Querqueville";6.38666666666667;6.16;4.955;7.705
"Autumn";2008;"NO3+NO2";"Donville";8.72333333333333;10.6;6.885;11.5
"Autumn";2008;"NO3+NO2";"Géfosse";10.355;4.86;2.89;12.325
"Autumn";2008;"NO3+NO2";"StCast_Hebihens";3.5;2.5;1.75;4.75
"Autumn";2008;"OXYGENE";"Antifer";8.01666666666667;8.05;7.875;8.2
"Autumn";2008;"OXYGENE";"At so";9.56;8.85;8.72;10.045
"Autumn";2008;"OXYGENE";"Cabourg";7.73333333333333;7.85;7.625;8.15
"Autumn";2008;"OXYGENE";"Digue de Querqueville";7.86666666666667;8;7.75;8.05
"Autumn";2008;"OXYGENE";"Donville";8.14666666666667;8.21;8.005;8.32
"Autumn";2008;"OXYGENE";"Géfosse";7.64;7.7;7.2;7.8
"Autumn";2008;"OXYGENE";"StCast_Hebihens";8;8.05;7.85;8.1
"Autumn";2008;"PO4";"Antifer";0.788;0.83;0.66;0.92
"Autumn";2008;"PO4";"At so";0.56;0.48;0.355;0.725
"Autumn";2008;"PO4";"Cabourg";0.862;0.89;0.75;0.97
"Autumn";2008;"PO4";"Digue de Querqueville";0.463333333333333;0.48;0.42;0.515
"Autumn";2008;"PO4";"Donville";0.39;0.46;0.355;0.46
"Autumn";2008;"PO4";"Géfosse";0.6375;0.475;0.435;0.6775
"Autumn";2008;"PO4";"StCast_Hebihens";0.963333333333333;0.49;0.395;1.295
"Autumn";2008;"SALI";"Antifer";32.665;32.61;31.9;33.7825
"Autumn";2008;"SALI";"At so";33.1;33.2;33;33.25
"Autumn";2008;"SALI";"Cabourg";33.125;33.29;32.64;33.715
"Autumn";2008;"SALI";"Digue de Querqueville";34.9166666666667;34.91;34.9;34.93
"Autumn";2008;"SALI";"Donville";34.69;34.73;34.505;34.895
"Autumn";2008;"SALI";"Géfosse";33.74;34.09;33.93;34.28
"Autumn";2008;"SALI";"StCast_Hebihens";34.8833333333333;34.9;34.8;35
"Autumn";2008;"SIOH";"Antifer";13.364;14;11.3;15.5
"Autumn";2008;"SIOH";"At so";9.65333333333333;9.96;8.46;11
"Autumn";2008;"SIOH";"Cabourg";15.3;11.9;11.6;20.4
"Autumn";2008;"SIOH";"Digue de Querqueville";5.10333333333333;5.16;4.78;5.455
"Autumn";2008;"SIOH";"Donville";10.19;8.4;7.485;12
"Autumn";2008;"SIOH";"Géfosse";14.9225;8.88;6.7775;17.025
"Autumn";2008;"SIOH";"StCast_Hebihens";6;5.6;5.6;6.2
"Autumn";2008;"TEMP";"Antifer";15.3091666666667;15.085;13.8775;16.9575
"Autumn";2008;"TEMP";"At so";14.2;13.3;12.6;15.35
"Autumn";2008;"TEMP";"Cabourg";15.1216666666667;15.335;12.985;16.9725
"Autumn";2008;"TEMP";"Digue de Querqueville";15.0966666666667;15.78;14.39;16.145
"Autumn";2008;"TEMP";"Donville";15.14;15.61;14.03;16.485
"Autumn";2008;"TEMP";"Géfosse";15.538;15.53;15.39;16.77
"Autumn";2008;"TEMP";"StCast_Hebihens";15.4166666666667;15.65;13.575;16.75
"Autumn";2008;"TURB";"Antifer";2.32727272727273;1.8;1.3;3
"Autumn";2008;"TURB";"At so";7.35;8.94;6.35;9.145
"Autumn";2008;"TURB";"Cabourg";3.73333333333333;3.4;2.6;3.9
"Autumn";2008;"TURB";"Digue de Querqueville";2.33333333333333;2.4;2.3;2.4
"Autumn";2008;"TURB";"Donville";3.16;1.23;1.04;4.315
"Autumn";2008;"TURB";"Géfosse";6.412;3.2;1.4;4.7
"Autumn";2008;"TURB";"StCast_Hebihens";1.11666666666667;1.05;0.825;1.275
"Autumn";2009;"NH4";"Antifer";2.09;1.58;1.28;2.77
"Autumn";2009;"NH4";"At so";3.25;3.25;3.005;3.495
"Autumn";2009;"NH4";"Cabourg";6.252;6.06;5.35;7.42
"Autumn";2009;"NH4";"Digue de Querqueville";1.505;1.505;1.3375;1.6725
"Autumn";2009;"NH4";"Donville";0.238333333333333;0.13;0.0675;0.355
"Autumn";2009;"NH4";"Géfosse";2.62;2.82;1.48;3.82
"Autumn";2009;"NH4";"StCast_Hebihens";0.763333333333333;0.76;0.605;0.92
