Appelation;Mise_sous;Commentaire (X=à ignorer);Nb;First;Last;Mea_Sp;Mea_Su;Mea_Au;Mea_Wi
Achnanthes;;;4;23/03/2000;20/02/2018;100;200;NA;200
Actinocyclus;;;20;08/12/1988;02/07/2019;125;342.86;100;309.62
Actinoptychus;;;63;14/10/1987;02/12/2019;457.69;214.29;229.42;370.64
Actinoptychus senarius;Actinoptychus;;1;27/02/2012;27/02/2012;NA;NA;NA;800
Akashiwo sanguinea;;;89;20/09/1988;12/08/2019;344.44;54111.76;16617.24;265
Alexandrium;Alexandrium;;194;26/07/1990;07/11/2019;281.44;601.85;311.07;100
Alexandrium minutum;Alexandrium;;217;05/12/1995;23/07/2019;9.09;105.08;17.39;1.75
Alexandrium ostenfeldii;Alexandrium;;4;12/06/2007;13/07/2010;NA;200;NA;NA
Amphidinium;;;111;07/08/1995;07/11/2019;491.12;860.11;650.23;240.78
Amphidomataceae;;;1;07/09/2016;07/09/2016;NA;NA;13150;NA
Amphora;X;;96;05/08/1987;14/04/2009;228.57;585.71;378.26;183.33
Amylax triacantha + buxus;Dinophyceae;;1;04/09/1992;04/09/1992;NA;NA;100;NA
Ankistrodesmus;X;;1;14/08/2001;14/08/2001;NA;100;NA;NA
Apedinella radians;X;;3;11/06/2012;10/07/2012;NA;933.33;NA;NA
Archaeperidinium minutum;X;;32;25/05/1988;02/05/2006;350;415;200;150
Asterionella;X;;24;01/04/2009;26/03/2019;592.31;800;500;375
Asterionella + Asterionellopsis + Asteroplanus;X;On va à l'espèce depuis 2008;19;17/05/1988;23/04/2008;1510;6057.5;650;725
Asterionella formosa;;Asterionella + Asterionellopsis + Asteroplanus;58;03/02/1989;21/02/2019;2569.37;500;846.2;1372.81
Asterionellopsis;Asterionellopsis glacialis;;4;12/02/2013;07/05/2015;1900;200;NA;400
Asterionellopsis glacialis;;;638;17/06/1987;17/12/2019;87666.73;241492.33;28998.07;10481.04
Asteromphalus;;;1;16/02/2018;16/02/2018;NA;NA;NA;100
Asteroplanus;;;1;04/05/2018;04/05/2018;100;NA;NA;NA
Asteroplanus karianus;Asteroplanus;;1;23/02/2012;23/02/2012;NA;NA;NA;200
Attheya armata;X;;5;05/06/2007;27/01/2015;NA;10624;2134;3351
Aulacodiscus;X;;1;09/01/1991;09/01/1991;NA;NA;NA;100
Azadinium;X;mais nano;3;26/07/2017;05/08/2019;1754;6139;NA;NA
Bacillaria;Bacillaria paxillifera;;2;09/03/2012;10/03/2015;2200;NA;NA;NA
Bacillaria paxillifera;;;114;30/05/1989;16/12/2019;1855.36;683.33;716.67;1527.82
Bacillariaceae;;;283;19/07/2004;30/12/2019;2965.38;19318.75;3971.71;756.04
Bacillariophyceae;;;73;19/05/1992;24/05/2017;6746.08;3256.3;1194.06;1417.45
Bacteriastrum;;;20;05/09/1991;02/09/2019;6277.5;1300;5514.29;1566.67
Bellerochea;;;31;12/11/1987;18/11/2019;533.33;7837.5;9791.43;583.33
Biddulphia;;;148;31/07/1987;28/01/2019;1078.5;1436.64;954.36;712.14
Biddulphia rhombus;Biddulphia;;261;24/09/1989;02/12/2019;1352.49;1690.21;1078.18;1038.02
Brockmanniella;Brockmanniella brockmannii;;4;18/05/2010;16/02/2017;2600;NA;3700;1800
Brockmanniella brockmannii;;;199;12/11/2007;30/12/2019;9721.21;5212.86;2272.62;5214.08
Centriques;;;336;31/03/1995;30/12/2019;1205.71;676.36;387.37;609.09
Cerataulina;Cerataulina pelagica;;330;21/05/1987;04/04/2019;12329.8;12780.76;1878.54;594.44
Cerataulina pelagica;;;227;06/03/2003;07/10/2019;4964.2;4739.09;1067;741.6
Ceratiaceae;;;4;03/10/2017;12/08/2019;NA;100;100;NA
Ceratium;X;depuis 2008 on va à l'espèce;50;06/07/1994;20/05/2019;651.33;1887.12;1521.74;150
Chaetoceros;;;1500;17/06/1987;17/12/2019;71098.76;476019.67;37791.6;4221.51
Chaetoceros affinis;Chaetoceros;;1;07/07/2002;07/07/2002;NA;13400;NA;NA
Chaetoceros curvisetus;Chaetoceros;;13;22/10/2009;07/11/2019;NA;74011.29;3950;16436
Chaetoceros curvisetus + debilis + pseudocurvisetus;Chaetoceros;;189;05/08/1987;19/11/2019;49874.04;36349.55;87179.81;63212.94
